anon_id,mfcc_1_std,shimmer,pitch_delta_std,jitter,label,split
call_0181ce113ebe,91.01022,0.26722848,47.680902270998125,0.16090949151005,synthetic,train
call_018c9d3823ac,138.03633,0.2475215,45.53599799324206,0.10917698823553731,synthetic,train
call_01bf49059daf,84.62169,0.21247247,33.65127140885506,0.10603740759325998,synthetic,train
call_01c3806808d6,105.75454,0.24951495,63.282736490720644,0.23711590712793534,synthetic,train
call_0294f969f98b,79.351074,0.22082828,17.22457682566584,0.05937558320263383,synthetic,val
call_02c249d2f89d,90.60471,0.18612216,10.078379208268672,0.04251522883272922,synthetic,train
call_02d28871d7b3,86.826035,0.22371015,35.94460910672167,0.08859890106571462,synthetic,train
call_03680846967f,92.593994,0.26913628,49.733418046236594,0.16123697682397678,synthetic,train
call_04d682ac0cef,70.255936,0.17731188,48.566213220873585,0.09570884033454097,human,train
call_05d6615469e1,64.281006,0.21445274,24.452844749327717,0.05592727449860963,synthetic,train
call_0615c3630150,162.07275,0.2685744,50.617789334280396,0.17157290065271108,human,train
call_064d8dd77899,56.181343,0.16184215,53.36193724626753,0.14462393842612156,synthetic,train
call_06b5a78ea12e,89.8945,0.22361429,29.709372765275592,0.08973031187972304,synthetic,train
call_0847d7417bb1,80.88385,0.22316541,24.4990189744699,0.06394721741186213,synthetic,val
call_092aef8d1243,158.81244,0.3049079,57.82794881946562,0.19991638237694556,human,train
call_098d8081babe,94.77689,0.20321612,34.47549597078058,0.0978696088125226,synthetic,train
call_099dffdf8486,94.95205,0.18399714,21.230774046371717,0.04315190961495118,synthetic,train
call_0a9c546208d1,95.43083,0.2521075,31.11845786952882,0.07138001589546725,human,train
call_0ab7d2a0c0f5,131.10641,0.24155168,48.3822742722187,0.11629567565739256,human,train
call_0cf2f4a71328,73.10939,0.19545329,26.290622365965806,0.06110946769560139,synthetic,val
call_0e101713ee94,101.83637,0.2813872,50.75515603169729,0.18757816103853625,synthetic,train
call_0e1e2f29bfdc,101.16406,0.21670663,30.16852516776246,0.06586738613721284,human,val
call_10aa0d1d33f0,115.48991,0.21241613,30.15239731362362,0.0875490034927101,human,val
call_10ceaf16fbbf,99.2231,0.17814934,16.374935756628517,0.05227316043303332,synthetic,train
call_11d3230256a1,127.75328,0.24878797,40.355802020251765,0.0970341877642404,human,train
call_120d6007bcc1,84.36225,0.22026001,22.673416159365853,0.07465874057858432,synthetic,val
call_1612f093f8b5,76.46965,0.22861399,54.17636249575446,0.2063409146573807,human,train
call_16581bcbc272,133.97478,0.24598528,45.705331487771,0.15841481114465747,human,train
call_1761edbd6952,123.485344,0.22190768,60.38792181797793,0.2102199156939568,human,train
call_181a5049ecae,105.63412,0.22134152,34.90272474433242,0.09064084320826342,synthetic,val
call_185e958a253b,111.57128,0.24783683,35.47042904574455,0.09491464824460957,human,val
call_186e9d6ee732,59.02848,0.17285296,28.33170513594075,0.07356732531268366,synthetic,train
call_189410107163,51.115276,0.19604863,36.8099319750747,0.10432942078845818,synthetic,train
call_18bd3c505fd5,88.47958,0.19882652,46.99392506789349,0.1190667509831032,synthetic,train
call_198ef413fe4a,87.97782,0.27827674,56.526052852227984,0.1682270642844461,human,val
call_1a2f3635b411,74.27976,0.27570555,48.45073071737783,0.19218816584051943,synthetic,train
call_1ad99899456c,95.36792,0.21798731,56.8803832787311,0.18809337623233027,synthetic,train
call_1ba56b3cce45,78.970085,0.27729368,49.63034106879087,0.16187422921796768,synthetic,train
call_1bf0aa4d4324,90.68326,0.21561533,35.34917698313652,0.05999605324094736,human,train
call_1c1c0cce9fb5,126.27864,0.20335959,45.278082150285314,0.10432221632168742,human,val
call_1cc930924760,51.156944,0.16215923,50.23065847084719,0.16432062241640444,synthetic,train
call_1ee2936b46a7,81.499725,0.24658635,30.508598136677055,0.11561240799585298,synthetic,train
call_224586045e67,98.3389,0.25469437,85.55252810600115,0.2270666225571665,human,train
call_22d0f235a47e,118.83388,0.22043936,62.22763481920346,0.12736535557709505,human,train
call_22eacbc23d18,120.117775,0.24892123,38.59613389997179,0.12757553688562775,human,train
call_23991b635849,85.74193,0.21586627,40.80083806044852,0.10430104782587368,human,train
call_24e1989c4d6d,58.650124,0.18933952,49.32307206391677,0.138619456730031,synthetic,train
call_253156878935,105.55625,0.20629528,13.180061307883735,0.0405369731207401,synthetic,train
call_26be2ced1f65,88.66263,0.1762623,37.407754220507904,0.09894440246433873,synthetic,train
call_2741c273bfcc,67.83856,0.21590379,24.206984365069356,0.0745910996971889,synthetic,train
call_290aacdf95ca,86.738304,0.19508319,15.580115741205118,0.037427658045721984,synthetic,train
call_29a23dea3118,64.60721,0.19703428,36.44741819469604,0.0987300053465248,synthetic,train
call_29e423c5b8aa,161.34297,0.25391287,53.40758602600194,0.14344403690701282,human,train
call_29f2b21b3d8a,88.97397,0.18221748,49.52269562191232,0.14554534070370356,synthetic,train
call_29fddbedd6a4,71.065796,0.22066328,43.14831065053668,0.17288451776699604,human,train
call_2a34be1bd407,115.66902,0.24755974,52.65957818978692,0.13635743542617818,human,train
call_2cd6a0b37e59,90.53216,0.18553519,18.50774572572461,0.03259141038131996,synthetic,train
call_2d2c74bdeb7b,98.412926,0.21910988,37.157142506906105,0.05673327968639398,human,train
call_2d4374d86df7,45.315163,0.17091154,52.09479689295644,0.20260225862768327,synthetic,val
call_30c4f6565eec,68.49082,0.18794651,47.3450157854019,0.1326420073189767,synthetic,train
call_312805f2b67f,75.97503,0.17688783,6.20766749850866,0.03708918639931294,synthetic,train
call_3332ecee2806,157.09862,0.24323602,54.62729133034154,0.15650281992801782,human,train
call_349b9fddaff0,128.86647,0.2334516,55.83771675867631,0.14698866517524606,human,train
call_34f4c668dbe8,114.19625,0.24926579,53.14570693668995,0.17623364371154732,human,train
call_35966c559fcc,157.68538,0.20193526,41.88188393539259,0.10220477954648773,human,train
call_36640e327eaf,127.49033,0.26993185,62.4639585068151,0.2066845381597675,human,train
call_36d72e4b1aef,84.300964,0.208963,23.10097263097576,0.08350256032335256,synthetic,val
call_373750027ccd,83.18456,0.20940335,33.391286478777516,0.058925890288346494,synthetic,train
call_374f870c8124,59.366573,0.20800222,45.5551071769991,0.12072852711293204,synthetic,train
call_37e63dcc8185,81.10506,0.18017064,49.93471868465131,0.1633753811425845,synthetic,train
call_387c5493a07f,82.41318,0.16703649,10.027361011112523,0.038373152809594524,synthetic,train
call_39880aff21ed,50.89328,0.1741135,47.772681188601126,0.12130826039461227,synthetic,train
call_3adbf4ac0f30,89.02984,0.22159645,78.68991815312333,0.20138090528920888,human,train
call_3b1bf9fab29d,95.03766,0.24861759,36.06453027723299,0.09776112597463671,human,train
call_3b9afdd4a2df,142.1632,0.23985372,35.11422584109921,0.1014723247354614,human,val
call_3ca96b2dd5c4,107.29842,0.26264256,79.83450785010498,0.15968883687818025,human,train
call_3cd08cbaf55c,92.29146,0.22012435,28.887238579315312,0.07405861153710772,synthetic,train
call_3d69be34ef44,99.6098,0.22268474,83.14904295020095,0.2140239087143047,human,train
call_3f3ac4984431,86.42272,0.24826807,93.28351149512078,0.24085981374645238,human,train
call_415d987a1504,79.16048,0.20683903,30.748504952854706,0.07994412079603386,synthetic,train
call_41fc5fd779c9,88.35902,0.19883744,48.8455724824465,0.12782205749761114,synthetic,train
call_450b4e13468b,82.65402,0.19969031,33.17975581923797,0.07796355630410072,synthetic,train
call_4789ebd9b148,66.03277,0.2232256,42.863831099711724,0.18767944449219054,synthetic,train
call_47bef2f628eb,72.692635,0.21464677,27.58612279979565,0.04866170971865295,human,val
call_486215b37ca1,80.83547,0.2140594,54.21631428250327,0.20740673588894556,human,train
call_488e7b893457,113.051994,0.24253614,46.26074703497703,0.1553859685318003,human,train
call_4ac92327c83b,76.24436,0.21140131,33.845411824980516,0.10719107345786558,human,train
call_4affad158a4c,71.149704,0.17925957,15.269093583114138,0.05964396662611943,synthetic,val
call_4b1bec58d02d,62.651035,0.16484638,36.6949642401165,0.09289416284819478,synthetic,train
call_4baef170cf46,134.86345,0.23692594,45.43790884795132,0.14594359001194526,human,train
call_4c278007298d,117.80532,0.20977025,55.9878393913199,0.0970824948951564,human,train
call_4c8c40f7c2fd,123.81821,0.25574687,38.15062041090714,0.09413200035373155,human,train
call_4cd5b14fbe3c,77.91834,0.18036515,53.28898609292191,0.162910361100772,synthetic,train
call_4d8129939686,85.9594,0.19865333,53.70153601650512,0.17695267219817298,synthetic,train
call_4e60206f7e8a,109.35738,0.21620925,57.22139892831564,0.09829537317662942,human,train
call_4e9cec0da4ea,70.35492,0.16290754,9.725372353726708,0.040019660978624895,synthetic,train
call_4f0dad5104b3,122.02466,0.22673641,55.78872366060569,0.17828145815271923,human,train
call_51851f91f064,110.1942,0.23733857,49.049746020240825,0.1608406918826104,human,train
call_5273f6be303c,107.310265,0.24398546,66.93386862192246,0.13548180689306338,human,train
call_52ba7c3bd761,53.983482,0.19505447,25.8034785717798,0.07278823897926129,synthetic,train
call_52bfee0220ab,73.899536,0.21437196,24.79382290975677,0.06589036140548261,synthetic,train
call_54a09817b7e2,76.27973,0.18065485,14.679110089283366,0.039483007787009416,synthetic,train
call_565b6523733e,120.4002,0.23866373,46.14406725088055,0.13945767787091892,human,train
call_568b5e814bc3,132.84473,0.25381637,47.17527669444695,0.13669738806624607,human,train
call_569ffb0869eb,107.07356,0.1966767,51.61343109599526,0.1464907655879707,human,val
call_56f58de34ea0,39.949684,0.18433776,55.58754339045204,0.1580936599005509,synthetic,train
call_578504f9f39e,97.59739,0.15964414,24.126721009550046,0.044456437755780995,synthetic,train
call_57f113803718,117.77424,0.22858106,44.40717975646431,0.13262802195896795,human,train
call_5823cd70919d,87.27329,0.23272477,44.79129570594334,0.15668862787144286,synthetic,train
call_58a0f7394bc3,83.00788,0.21644185,31.015064187480014,0.07479560548278999,synthetic,train
call_58ed2170e352,93.693054,0.22114241,55.48448859161526,0.2104608784667778,human,val
call_5a6307557d57,125.19043,0.23449475,47.47007509717961,0.17086583427250393,human,train
call_5a7a7e3c9588,68.24174,0.17794552,21.40177583911848,0.06085376553198646,synthetic,train
call_5c9d19646f57,114.34037,0.21957293,60.3461597512315,0.21176527028790665,human,train
call_5d86f0ca06aa,48.92907,0.16578339,52.666435597437946,0.136520100845055,synthetic,train
call_5e4539a471f6,55.118046,0.1576862,43.044160114201844,0.14755924384255067,synthetic,val
call_5f7a4b3e8ca9,163.21172,0.21230583,38.215868235276844,0.09914113065979689,human,train
call_6058d9c5c82f,87.140686,0.25677398,24.985113740328487,0.052362848061486944,synthetic,val
call_60ffdefc5f5a,106.526146,0.1883444,48.53611317891726,0.11094950096615247,human,train
call_624a4731ab56,122.135345,0.23013344,78.8248931419103,0.22929999249457697,human,train
call_63a156c6b8d9,92.41083,0.20472966,40.5446301245122,0.09826157217830811,human,train
call_64637c20ee66,155.44199,0.25874716,60.046292639934116,0.16376095982677694,human,val
call_65a7cdefc22d,156.70248,0.25514916,48.43525194599213,0.13809671630384657,human,train
call_6756c4a91509,89.39925,0.17444217,11.14750638785465,0.04197400937908678,synthetic,train
call_678ee1dd2242,84.08367,0.18642694,41.58773138217723,0.11996904458627504,human,val
call_68544c09a58b,49.939217,0.23419955,28.073933231125157,0.0737589442954748,synthetic,train
call_6971b2685c1d,73.02826,0.21203494,49.78232939495946,0.16712808607909538,human,val
call_6afd8cabf618,66.46489,0.20794305,29.879896709838125,0.0782362678182312,synthetic,train
call_6b0cc9c966a1,114.298096,0.2584953,42.25288427262634,0.11922486304087573,human,train
call_6b31fbd81fc3,46.483597,0.18302946,51.64846114239676,0.20133614782034476,synthetic,train
call_6b6499e4474f,104.30135,0.17028531,45.45376279493914,0.14430776780650173,synthetic,train
call_6c8d4490f8d7,102.57481,0.19238573,21.744859350469344,0.0738348691190844,synthetic,val
call_6d88a2e95795,161.51114,0.22118816,61.506086277153685,0.20595897874918487,human,train
call_6dfa70c50ea5,42.88067,0.17844844,41.40529196433352,0.12535796324058618,synthetic,train
call_6e83cb807322,101.40081,0.2454084,42.73318228875375,0.12171108508457057,human,train
call_70101b573bb2,50.60649,0.22365175,29.59922067394618,0.08832983957071189,synthetic,train
call_70de89818ee5,53.799282,0.19674769,24.65163903257817,0.07370940767342986,synthetic,train
call_716d56beca2a,138.97075,0.25849426,45.52413269160943,0.1420931422996506,human,train
call_71fec5a6b017,73.74737,0.22634396,25.094303819442505,0.0694091077157853,synthetic,train
call_743448b8a861,89.77243,0.19717404,23.97896914841445,0.08813227844851859,synthetic,val
call_74b20933dd43,136.84984,0.2801382,58.477995087622055,0.2089036194702707,human,val
call_750153d8eb40,75.384544,0.21678098,49.553654566395316,0.1693760010684443,human,train
call_7519d635bbbb,74.90268,0.21107507,53.055445146069154,0.14875885369655098,synthetic,train
call_7601ac7d4fbf,81.45798,0.20559326,33.33590501499374,0.08744217953116923,synthetic,train
call_76856257e3ef,79.74615,0.193704,28.91702337885675,0.09224738281019824,synthetic,train
call_7744ab92baa3,99.79784,0.25774652,40.49647810914135,0.09035064486169418,human,train
call_794031bf2233,40.06167,0.13723463,59.26002049808714,0.2503445834168634,synthetic,train
call_7a250598cb8b,55.42687,0.1863169,11.825766659915889,0.047663036575799005,synthetic,train
