anon_id,numero_turnos_caller,duracion_promedio_caller,pausa_promedio_caller,desviacion_estandar_latencia,interrupciones_agente,duracion_total_interrupciones,duracion_promedio_interrupcion,label,split,tasa_interrupciones,duracion_interrupciones_por_turno,ratio_habla_pausa
call_0181ce113ebe,10,5.184000000000002,9.133333333333331,0.5515795500197587,3,0.6899999999999977,0.22999999999999923,synthetic,train,0.2999997000003,0.06899993100006878,0.5675906194263295
call_018c9d3823ac,9,5.236666666666668,6.082499999999997,1.204564236560261,5,4.770000000000024,0.9540000000000048,synthetic,train,0.5555549382722909,0.5299994111117682,0.860938439339462
call_01bf49059daf,10,7.605000000000004,14.196666666666664,1.127390792937396,24,7.620000000000042,0.3175000000000017,synthetic,train,2.3999976000024,0.7619992380007662,0.535688751569323
call_01c3806808d6,10,2.8050000000000037,9.719999999999995,0.8790961267119757,1,0.09000000000000341,0.09000000000000341,synthetic,train,0.0999999000001,0.008999991000009342,0.2885799500206281
call_0294f969f98b,15,1.4460000000000022,5.350714285714283,0.6993895297226813,6,4.710000000000007,0.7850000000000011,synthetic,val,0.39999973333351113,0.3139997906668067,0.2702437880906382
call_02c249d2f89d,16,2.0774999999999997,6.758,0.7171166223146679,8,3.930000000000014,0.49125000000000174,synthetic,train,0.4999996875001953,0.24562484648447183,0.30741298104027664
call_02d28871d7b3,11,3.6927272727272706,9.294000000000002,1.3249987993133483,2,0.6300000000000026,0.3150000000000013,synthetic,train,0.1818180165290759,0.057272675206659136,0.39732335910196676
call_03680846967f,10,7.758,9.610000000000001,2.1716905856958513,31,14.640000000000008,0.4722580645161293,synthetic,train,3.0999969000031,1.463998536001465,0.8072832390392933
call_04d682ac0cef,132,0.7245454545454548,0.6611450381679387,2.5699700846613016,118,50.52000000000005,0.42813559322033945,human,train,0.8939393262167177,0.38272724373278494,1.0958782928633064
call_05d6615469e1,27,2.6255555555555534,3.335769230769233,1.2816045631981225,58,24.47999999999993,0.42206896551724016,synthetic,train,2.1481473525380177,0.9066663308643192,0.7870891248849519
call_0615c3630150,51,1.5258823529411762,1.3379999999999999,2.5516399607628246,51,36.479999999999954,0.715294117647058,human,train,0.999999803921607,0.7152939773933368,1.14041177042113
call_064d8dd77899,72,1.8054166666666664,0.11535211267605686,3.057451003669402,81,70.28999999999999,0.8677777777777776,synthetic,train,1.1249998437500217,0.9762498644097409,15.649996561144608
call_06b5a78ea12e,12,4.582500000000001,6.204545454545452,0.5067207407348845,9,6.780000000000012,0.7533333333333346,synthetic,train,0.7499993750005208,0.56499952916706,0.7385702382018144
call_0847d7417bb1,10,3.141000000000001,7.996666666666666,1.0559592795179191,1,0.2699999999999996,0.2699999999999996,synthetic,val,0.0999999000001,0.026999973000026958,0.3927881707526003
call_092aef8d1243,42,1.7557142857142853,1.4078048780487806,2.4202029476249125,53,36.35999999999994,0.6860377358490555,human,train,1.2619044614513186,0.8657140795918844,1.2471201385140143
call_098d8081babe,11,3.4963636363636366,9.651,0.7191358450504043,5,1.8900000000000006,0.3780000000000001,synthetic,train,0.45454504132268975,0.17181802561997678,0.3622795579285108
call_099dffdf8486,12,2.749999999999998,4.6663636363636405,0.9277943051815264,15,5.639999999999983,0.37599999999999884,synthetic,train,1.2499989583342015,0.4699996083336583,0.5893227191603515
call_0a9c546208d1,12,2.032500000000001,6.804545454545454,2.1010451944427353,3,0.9899999999999984,0.32999999999999946,human,train,0.24999979166684028,0.08249993125005717,0.2986969558227772
