anon_id,numero_turnos_caller,duracion_promedio_caller,pausa_promedio_caller,desviacion_estandar_latencia,interrupciones_agente,duracion_total_interrupciones,duracion_promedio_interrupcion,label,split
call_0181ce113ebe,10,4.857999999999997,9.464444444444446,1.0147709101073026,0,0.0,0.0,synthetic,train
call_018c9d3823ac,10,4.3880000000000035,5.737777777777775,4.0476363473019665,4,3.739999999999995,0.9349999999999987,synthetic,train
call_01bf49059daf,10,7.3379999999999965,14.462222222222225,1.342549812856119,1,0.6599999999999966,0.6599999999999966,synthetic,train
call_01c3806808d6,10,2.4380000000000006,10.097777777777777,1.0012525488939703,0,0.0,0.0,synthetic,train
call_0294f969f98b,14,1.228571428571429,6.087692307692307,0.4378769961259272,6,3.059999999999998,0.5099999999999997,synthetic,val
call_02c249d2f89d,16,1.7512500000000015,7.081333333333332,0.6834215390225857,5,2.27999999999998,0.45599999999999596,synthetic,train
call_02d28871d7b3,11,3.305454545454546,9.692,1.1120170044481417,0,0.0,0.0,synthetic,train
call_03680846967f,10,7.530000000000003,9.835555555555551,2.760431528261883,2,1.220000000000006,0.610000000000003,synthetic,train
call_04d682ac0cef,10,3.283999999999998,12.99777777777778,0.21400934559032606,1,0.3199999999999932,0.3199999999999932,human,train
call_05d6615469e1,27,2.3488888888888884,3.611538461538463,4.962909035723514,3,2.1400000000000006,0.7133333333333335,synthetic,train
call_0615c3630150,28,1.7921428571428561,3.2288888888888896,5.411885411176376,19,17.499999999999975,0.921052631578946,human,train
call_064d8dd77899,12,1.9666666666666668,7.387272727272727,1.6578810864985751,3,1.4399999999999977,0.47999999999999926,synthetic,train
call_06b5a78ea12e,12,4.300000000000001,6.4890909090909075,0.5168758129963178,7,4.980000000000029,0.7114285714285755,synthetic,train
call_0847d7417bb1,12,2.236666666666666,6.9327272727272735,2.5751840181378753,0,0.0,0.0,synthetic,val
call_092aef8d1243,27,1.6548148148148158,3.0999999999999988,3.7841889690984187,24,19.36,0.8066666666666666,human,train
call_098d8081babe,9,3.871111111111114,12.482499999999998,0.755115885146113,2,0.7000000000000028,0.3500000000000014,synthetic,train
call_099dffdf8486,12,2.3699999999999988,5.056363636363638,2.401572717023475,2,0.7599999999999909,0.37999999999999545,synthetic,train
call_0a9c546208d1,7,2.760000000000003,13.249999999999998,0.08552359741197545,0,0.0,0.0,human,train
call_0ab7d2a0c0f5,17,1.828235294117647,5.9725,2.111210891543389,8,4.540000000000004,0.5675000000000004,human,train
call_0cf2f4a71328,17,3.0305882352941182,5.939999999999999,3.179387658394766,3,1.86000000000001,0.6200000000000033,synthetic,val
call_0e101713ee94,15,5.0453333333333354,6.955714285714284,5.1593214762445365,4,3.2800000000000082,0.8200000000000021,synthetic,train
call_0e1e2f29bfdc,12,1.9966666666666673,8.654545454545454,1.6531943367769915,6,2.8600000000000048,0.47666666666666746,human,val
call_10aa0d1d33f0,16,1.5625000000000018,6.598666666666665,3.3980070139225234,6,3.660000000000018,0.610000000000003,human,val
call_10ceaf16fbbf,9,4.155555555555553,10.132500000000002,0.6185556653294113,1,0.21999999999999886,0.21999999999999886,synthetic,train
call_11d3230256a1,13,2.013846153846154,6.391666666666666,1.376356190684797,4,2.28000000000001,0.5700000000000025,human,train
call_120d6007bcc1,16,3.2949999999999995,4.573333333333334,4.925752734354415,4,3.499999999999993,0.8749999999999982,synthetic,val
call_1612f093f8b5,45,1.595555555555555,1.3390909090909096,3.309769860997823,33,33.62,1.0187878787878788,human,train
call_16581bcbc272,15,2.0946666666666673,5.0371428571428565,3.6918136345281445,6,3.5,0.5833333333333334,human,train
call_1761edbd6952,36,3.122777777777778,1.457142857142857,4.544162235238534,37,41.09999999999996,1.1108108108108097,human,train
call_181a5049ecae,16,1.8862500000000009,6.713333333333332,1.6816341258827185,3,1.500000000000007,0.5000000000000023,synthetic,val
call_185e958a253b,18,1.6788888888888884,5.723529411764707,2.617566224792884,8,4.380000000000004,0.5475000000000005,human,val
call_186e9d6ee732,11,1.4999999999999993,6.206,3.308428904809928,4,1.8800000000000026,0.47000000000000064,synthetic,train
call_189410107163,40,1.752,3.093333333333333,9.24221279975188,16,6.99999999999999,0.4374999999999994,synthetic,train
call_18bd3c505fd5,12,2.948333333333333,8.652727272727274,3.7898376874174575,5,1.9799999999999933,0.3959999999999987,synthetic,train
call_198ef413fe4a,11,2.825454545454547,8.937999999999999,5.465731627350745,4,1.8600000000000092,0.4650000000000023,human,val
